variant,keygen_time,encap_time,decap_time,public_key_size,ciphertext_size,secret_key_size
Kyber512,0.14524810000011712,0.041498899975067616,0.04951490000166814,800.0,768.0,1632.0
Kyber768,0.06757869998637034,0.09068779997960519,0.06468139998787592,1184.0,1088.0,2400.0
Kyber1024,0.07497140001078151,0.09259439999595998,0.10513050001463853,1568.0,1568.0,3168.0
